occ_name,number,st_prefix,street,st_type,st_suffix,addr_2,apt_room,city,state,zip,property_class,prop_use,property,floors_above,floors_below,roof_cover,roof,construct,construction_ty,det_pres,det_present,det_type,detect_type,det_power,detector_power,aes_pres,aes_present,aes_type,aestype,first_name,last_name,phone,ext,name,first,last,notes
Wash U,13727,S,RT 59,,,,,PLAINFIELD,IL,60544,5,579,Motor vehicle or boat sales,1,,7,B,4,U,,,,,,,,,,,,,,,WASH U,,,
"Eagle Games, Inc. (home Bus)",13731,S,CAPISTA,DR,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",,,,,,,,,,,,,,,,,Glenn,"Drover, Jr.",815-439-9834,,"EAGLE GAMES, INC. (HOME BUS)",GLENN,"DROVER, JR.",
Plainfield Small Business Park Bldg 3,13731,S,RT 30,,,,,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,,7,B,4,U,1,P,5,M,4,H,N,N,,,Mike,Shearer,630-432-7604,,PLAINFIELD SMALL BUSINESS PARK BLDG 3,MIKE,SHEARER,"Former Community Christian Church:  |Glamour Events:  |Lemah Creek Extractions, Llc: Michelle Iannutta 630-772-5965|Products That Save: Mark Von Lenmoln 708-337-2340|Rolff Sign Company: Chris Corres 217-530-3296|Sds Supply Corp.: Jason Sowinski 630-776-6763"
Dukane Precast,13733,S,RT 30,,,,,Plainfield,IL,60544,7,700,"Manufacturing, processing",1,,0,R,1,F,N,N,,,,,N,N,,,,Unknown,815-230-4760,,DUKANE PRECAST,,UNKNOWN,
Quail Run Park,13745,S,QUAIL RUN,DR,,,,PLAINFIELD,IL,60544,9,900,Outside or special property,1,,,,,,,,,,,,,,,,,,,,QUAIL RUN PARK,,,
American Built Systems,13815,S,RT 30,,,,,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,,,,,,,,,,,,,,,,Robert,Sohol,630-514-1001,,AMERICAN BUILT SYSTEMS,ROBERT,SOHOL,
Park - Enclave,13830,S,VAN DYKE,RD,,ENCLAVE PARK,,PLAINFIELD,IL,60544,1,124,Playground,,,,,,,,,,,,,,,,,,,,,PARK - ENCLAVE,,,
Multi Tenant Building,13900,S,VAN DYKE,RD,,,,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,,7,B,3,P,1,P,1,S,4,H,1,P,1,W,,,,,MULTI TENANT BUILDING,,,"Ditti, Inc.:  |Heintz Construction: Gerald Heintz 815-436-3671|Pro Beam Usa:  |Progressive Innovation & Automation, Inc: Greg Nichols 815-267-2763|Quail Chem:  |Showcase Of Cars: Michael Ruiz 708-218-4084|Valqari:  "
Univar,13915,W,RT 30,,,,,Plainfield,IL,60544,7,700,"Manufacturing, processing",1,,0,R,4,U,1,P,1,S,4,H,1,P,1,W,Michael,Carey,630-461-3411,,UNIVAR,MICHAEL,CAREY,
Wadsworth Golf Construction,13941,S,VAN DYKE,RD,,,,PLAINFIELD,IL,60544,5,599,Business office,2,,7,B,6,U,N,N,,,,,N,N,,,Brent,Wadsworth,630-553-5535,,WADSWORTH GOLF CONSTRUCTION,BRENT,WADSWORTH,
"Allways Precision, Inc.",14001,S,VAN DYKE,RD,,,,PLAINFIELD,IL,60544,7,700,"Manufacturing, processing",1,,7,B,4,U,1,P,2,H,4,H,N,N,,,Romas,Juodualkis,815-436-9977,,"ALLWAYS PRECISION, INC.",ROMAS,JUODUALKIS,
"Ultimate Machining & Engineering, Inc.",14015,S,VAN DYKE,RD,,,,PLAINFIELD,IL,60544,7,700,"Manufacturing, processing",1,,0,R,0,U,1,P,4,S,4,H,1,P,1,W,John,Kulczuga,847-303-1873,,"ULTIMATE MACHINING & ENGINEERING, INC.",JOHN,KULCZUGA,
Diageo Warehouse,14020,S,COIL PLUS,DR,,,OVERALL BLDG,PLAINFIELD,IL,60544,7,700,"Manufacturing, processing",2,,7,B,4,U,1,P,4,S,4,H,1,P,1,W,Tim,Murray,630-554-3834,,DIAGEO WAREHOUSE,TIM,MURRAY,Diageo Warehouse Additional Space: Adt 800-428-7124|Diageo Warehouse Additional Space: Midwest Warehouse 630-739-6760
Crash Champions,14022,S,RT 59,,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",1,,,,,,,,,,,,,,,,John,Gritis,630-964-3400,,CRASH CHAMPIONS,JOHN,GRITIS,
Coilplus,14023,S,COIL PLUS,DR,,,,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,,,,,,,,,,,,,,,,Pat,Soris,815-436-3761,,COILPLUS,PAT,SORIS,
Prairie Knoll Park,14030,S,MEADOW,LN,,,,PLAINFIELD,IL,60544,9,900,Outside or special property,1,,,,,,,,,,,,,,,,,,,,PRAIRIE KNOLL PARK,,,
Park - Prairie Knoll East,14031,S,MEADOW,LN,,PRAIRIE KNOLL PARK EAST,,PLAINFIELD,IL,60544,1,124,Playground,,,,,,,,,,,,,,,,,,,,,PARK - PRAIRIE KNOLL EAST,,,
The Reserve Park,14045,S,HUNT CLUB,LN,,,,PLAINFIELD,IL,60586,9,900,Outside or special property,1,,,,,,,,,,,,,,,,,,,,THE RESERVE PARK,,,
Wilson Nursery And Landscape Supply,14104,S,RT 59,,,,,PLAINFIELD,IL,60544,5,569,"Professional supplies, serv",1,,9,R,9,N,N,N,,,,,N,N,,,Andy,Fick,847-381-5906,,WILSON NURSERY AND LANDSCAPE SUPPLY,ANDY,FICK,
Chicago Bridge & Iron,14105,S,RT 59,,,,,PLAINFIELD,IL,60544,5,599,Business office,2,1,0,R,4,U,1,P,5,M,4,H,2,P,1,W,Bill,Guntorius,773-238-8009,,CHICAGO BRIDGE & IRON,BILL,GUNTORIUS,
"Merlin 200,000 Mile Shop",14120,S,RT 30,,,,,PLAINFIELD,IL,60544,5,579,Motor vehicle or boat sales,1,,,,,,,,,,,,,,,,Chris,Schultz,630-553-0775,,"MERLIN 200,000 MILE SHOP",CHRIS,SCHULTZ,
Chobar Towing (home Based Business),14125,S,VAN DYKE,RD,,,,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,,,,,,,,,,,,,,,,David,Chobar,815-436-5130,,CHOBAR TOWING (HOME BASED BUSINESS),DAVID,CHOBAR,
Multi Tenant Building,14150,S,RT 59,,,,,PLAINFIELD,IL,60544,5,599,Business office,2,1,2,C,8,U,1,P,5,M,4,H,1,P,12,W,,,,,MULTI TENANT BUILDING,,,
Dayfield Commons Strip Mall,14200,S,RT 30,,,DAYFIELD COMMONS 14200-14206 S. RT. 30,,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",2,,7,B,4,U,1,P,5,M,4,H,1,P,1,W,Mike,Shearer,630-432-7604,,DAYFIELD COMMONS STRIP MALL,MIKE,SHEARER,Delete Evan Michaels Spa: Colleen Almodovar 815-274-5241|Excel Driving School: Sean Campbell Electronic Options 630-690-9150|Plainfield Massage: Clayton Olsen 630-464-1400|Route 30 Wine & Liquors: Hiren Patel 847-877-4476
Cube Smart,14203,S,RT 59,,,,,PLAINFIELD,IL,60544,5,599,Business office,1,,,,8,U,N,N,,,,,N,N,,,Pam,Bonilla,630-670-1416,,CUBE SMART,PAM,BONILLA,
Vacant Land,14204,S,NAPERVILLE,RD,,,,PLAINFIELD,IL,60585,9,931,Open land or field,1,,,,,,,,,,,,,,,,,,,,VACANT LAND,,,
Fox's Restaurant,14206,S,RT 30,,,DAYFIELD COMMONS 14200-14206 S. RT. 30,,PLAINFIELD,IL,60544,1,161,Restaurant or cafeteria,2,,7,B,4,U,1,P,5,M,4,H,1,P,1,W,Tom,Fox,708-269-2070,,FOX'S RESTAURANT,TOM,FOX,
The Shops Of Dayfield,14210,S,RT 30,,,,,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,,7,B,4,U,1,P,4,S,4,H,1,P,1,W,,Mertonas Real Properties,815-436-9410,,THE SHOPS OF DAYFIELD,,MERTONAS REAL PROPERTIES,Cheesecake Store: John Argoudelis 630-327-9303|Duplicate Grace Pointe Church: Helen 815-651-0119|Gace Point Church Additional Space: Ken Go 815-609-8887|Grace Pointe Church Additional Space:  |Grace Pointe Church Additional Space:  |Grace Pointe Church Additional Space: Justin Kelm 815-355-2297|Grace Pointe Church Plainfield:  630-355-4126|Leap Of Faith Arts Ministries:  |Leap Of Faith Arts Ministry: Becca Heye 815-274-1514
Performance Gear Systems,14309,S,RT 59,,,,,Plainfield,IL,60544,7,700,"Manufacturing, processing",1,,,,,,,,,,,,,,,,Mike,Rathbun,815-436-4906,,PERFORMANCE GEAR SYSTEMS,MIKE,RATHBUN,
Jc Horizon,14325,S,VAN DYKE,RD,,,,PLAINFIELD,IL,60544,8,891,Warehouse,1,,7,B,4,U,1,P,4,S,4,H,1,P,1,W,Securities,Tyco Integrated,630-218-7542,,JC HORIZON,SECURITIES,TYCO INTEGRATED,
Vacant (george Arquilla Companies),14335,S,VAN DYKE,RD,,,101,PLAINFIELD,IL,60544,8,800,"Storage, Other",1,,9,R,9,N,N,N,,,,,N,N,,,,,,,VACANT (GEORGE ARQUILLA COMPANIES),,,Vacant (george Arquilla Companies):  
Crosswinds Church,14360,S,RT 59,,,,,PLAINFIELD,IL,60544,1,131,"Church, mosque, synagogue,",1,1,2,C,6,U,1,P,1,S,4,H,N,N,,,Ken,Schultz,815-439-2706,,CROSSWINDS CHURCH,KEN,SCHULTZ,
Plainfield Public Works,14400,S,COIL PLUS,DR,,,,Plainfield,IL,60544,8,880,"Vehicle storage, Other",1,,6,M,1,F,1,P,5,M,4,H,1,P,1,W,Mark,Stofko,815-693-8588,,PLAINFIELD PUBLIC WORKS,MARK,STOFKO,
True Green,14405,S,RT 59,,,,,Plainfield,IL,60544,5,569,"Professional supplies, serv",1,,0,R,6,U,1,P,5,M,4,H,1,P,1,W,Rick,Pearson,630-675-5458,,TRUE GREEN,RICK,PEARSON,
Multi-tenant Office/warehouse Bldg,14407,S,COIL PLUS,DR,,,,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,,7,B,4,U,1,P,4,S,4,H,1,P,1,W,Christoper,Marszalek,815-609-6228,,MULTI-TENANT OFFICE/WAREHOUSE BLDG,CHRISTOPER,MARSZALEK,"Flight Volleyball Center: Chris Marszalek 815-609-6228|Sennco Solutions, Inc.: Christopher Marszalek 630-234-7926"
Animal Care Center,14411,S,RT 59,,,,,PLAINFIELD,IL,60544,3,340,"Clinics, doctors offices, h",2,,2,C,5,P,,,,,,,,,,,Anthony,Kremer,815-405-1300,,ANIMAL CARE CENTER,ANTHONY,KREMER,
Multi-tenant Office/warehouse Bldg,14411,S,COIL PLUS,DR,,,,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,,7,B,4,U,1,P,4,S,4,H,1,P,1,W,R Baker,Thompson,773-245-0581,,MULTI-TENANT OFFICE/WAREHOUSE BLDG,R BAKER,THOMPSON,Boomer T's :  |Craters And Freighters: Melissa Bilthouse 630-917-5497|Crossfit C2l:  |Crossfit C2l Additional Space: Patricia De Hayos 815-267-7544|Optimal F.p. Engineering & Installation: Glenn Luckinbill 630-697-9933|Plainfield School Of Music: Chris Ptacek 630-679-1481|Purple Plum:  
Fire Station One,14415,S,COIL PLUS,DR,,,,PLAINFIELD,IL,60544,8,888,Fire station,2,,2,C,6,U,1,P,5,M,4,H,1,P,1,W,,,,,FIRE STATION ONE,,,
Logoplaste,14420,S,VAN DYKE,RD,,,,PLAINFIELD,IL,60544,7,700,"Manufacturing, processing",1,,7,B,4,U,1,P,5,M,4,H,1,P,1,W,Chris,Nole,513-550-3895,,LOGOPLASTE,CHRIS,NOLE,
patriot plazza ,14421,s,wallin ,dr ,Column1,Column2,Column8,Plainfield,il ,60544,Column12,Column13,multi building ,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,
Signarama And Fully Promoted,14429,S,WALLIN,DR,,,,PLAINFIELD,IL,60544,5,592,Bank,2,,2,C,6,U,1,P,1,S,4,H,N,N,,,Anita,Ruffing,815-592-7224,,SIGNARAMA AND FULLY PROMOTED,ANITA,RUFFING,
Gymquest,14511,S,VAN DYKE,RD,,,,PLAINFIELD,IL,60544,1,121,"Ballroom, gymnasium",2,,0,R,3,P,1,P,31,S,4,H,1,P,1,W,Adam,Stokes,312-498-7400,,GYMQUEST,ADAM,STOKES,
Plainfield Water Treatment Plant (north),14701,S,WOOD FARM,RD,,,,PLAINFIELD,IL,60544,7,700,"Manufacturing, processing",1,,,,,,,,,,,,,,,,,,,,PLAINFIELD WATER TREATMENT PLANT (NORTH),,,
Naperville Riverview Llc,14710,S,NAPERVILLE,RD,,,,PLAINFIELD,IL,60544,5,599,Business office,1,,2,C,6,U,1,P,5,M,4,H,N,N,,,Rod,Mourad,630-327-6909,,NAPERVILLE RIVERVIEW LLC,ROD,MOURAD,"Accurate Accounting:  |Beacon Financial Planning Services, Llc: David Navarro 630-890-8859|Hair Illusions:  |Montessori Of Plainfield: Mari Ann Unger 815-272-5812|Vacant (dupage Medical Group): Donna Semram 815-558-0200"
Harbour Contractors,14711,S,NAPERVILLE,RD,,,,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,,,,,,,,,,,,,,,,Robert,Baish,815-378-9163,,HARBOUR CONTRACTORS,ROBERT,BAISH,
Lakewood Center Nursing & Rehabilitation,14716,S,EASTERN,AVE,,,,PLAINFIELD,IL,60544,3,311,"24-hour care Nursing homes,",1,1,2,C,9,N,1,P,5,M,4,H,1,P,1,W,Rehab,Lakewood Nursing &,847-905-3000,,LAKEWOOD CENTER NURSING & REHABILITATION,REHAB,LAKEWOOD NURSING &,
Naperville Riverview Llc,14722,S,NAPERVILLE,RD,,,,PLAINFIELD,IL,60544,5,599,Business office,1,,2,C,0,U,1,P,5,M,4,H,N,N,,,Kathy,,630-878-9575,,NAPERVILLE RIVERVIEW LLC,KATHY,,"Card Autism & Related Disorders, Llc: Ted Benson 815-474-2429|Edgewood:  |Hair Comes The Sun: Mary Engelman 815-727-4280|Health Connection Of Illinois: Donna Zappia 630-258-9577|Kesap Clean Professional Cleaners: Debra Pasek 815-735-1078|Par Insurance: Keith Rademacher 630-205-0749|Rds Mortgage: The Riverview Center 815-609-1382|Rds Mortgage Corporation: Ted Benson 561-691-3300|Spx Transformer Solutions: Spx Corporation 800-835-2732|Tranquility Massage & Bodywork, Inc.: Laura Donahue 815-671-1076"
Riverview Park,14724,S,NAPERVILLE,RD,,,,PLAINFIELD,IL,60544,9,900,Outside or special property,1,,,,,,,,,,,,,,,,,,,,RIVERVIEW PARK,,,
Grain Elevator,14727,S,NAPERVILLE,RD,,,,PLAINFIELD,IL,60544,6,600,"Ind., utility, defense, agr",7,2,1,T,,,N,N,,,,,N,N,,,Mark,,646-337-7586,,GRAIN ELEVATOR,Mark,,
John Green Excavating Co.,14730,S,NAPERVILLE,RD,,,SOUTH HALF,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,,6,M,8,U,1,P,1,S,4,H,N,N,,,John,Green,815-405-0094,,JOHN GREEN EXCAVATING CO.,JOHN,GREEN,Plainfield General Rental: Scott Storms 815-566-3660
Heritage Woods Of Plainfield,14731,S,VAN DYKE,RD,,,,PLAINFIELD,IL,60544,4,459,Residential board and care,3,,,,,,,,,,,,,,,,,Gardant Mgt,877-882-1495,,HERITAGE WOODS OF PLAINFIELD,,GARDANT MGT,
Vacant (component Wood Supply),14731,S,NAPERVILLE,RD,,,,PLAINFIELD,IL,60544,7,700,"Manufacturing, processing",2,,6,M,4,U,N,N,,,,,N,N,,,,,,,VACANT (COMPONENT WOOD SUPPLY),,,
Oak Park Sportsmen's Club,14732,S,FRONTAGE,RD,W,,,PLAINFIELD,IL,60544,9,900,Outside or special property,1,,,,,,,,,,,,,,,,Edward,Oziminski,708-638-9714,,OAK PARK SPORTSMEN'S CLUB,EDWARD,OZIMINSKI,
Lifespring Community Church,14735,S,WOOD FARM,RD,,,,PLAINFIELD,IL,60544,1,131,"Church, mosque, synagogue,",1,,2,C,6,U,1,P,5,M,4,H,1,P,2,D,Francis,Leeman,815-325-5483,,LIFESPRING COMMUNITY CHURCH,FRANCIS,LEEMAN,
Pace Park-n-ride,14740,W,DEPOT,DR,,,,PLAINFIELD,IL,60544,1,173,Bus station,1,,,,,,,,,,,,,,,,,,,,PACE PARK-N-RIDE,,,
Cedarlake Village Assisted Living Bldg 1,14800,S,VAN DYKE,RD,,,,PLAINFIELD,IL,60544,4,459,Residential board and care,3,1,2,C,8,U,1,P,5,M,4,H,1,P,12,W,,"London Adams, Llc",312-879-8429,,CEDARLAKE VILLAGE ASSISTED LIVING BLDG 1,,"LONDON ADAMS, LLC",
Nabby's Restaurant,14802,S,MICHIGAN,ST,,,,PLAINFIELD,IL,60544,5,519,"Food and beverage sales, gr",1,1,7,B,6,U,N,N,,,,,,,,,Mike,Vitullo,630-682-1331,,NABBY'S RESTAURANT,MIKE,VITULLO,
Cedarlake Village Senior Apt Bldg 2,14804,S,VAN DYKE,RD,,,,PLAINFIELD,IL,60544,4,429,Multifamily dwelling,3,1,2,C,8,U,1,P,5,M,4,H,1,P,12,W,Living Comm,American House Senior,248-203-1800,,CEDARLAKE VILLAGE SENIOR APT BLDG 2,LIVING COMM,AMERICAN HOUSE SENIOR,
Multi-tenant Building,14807,S,RT 59,,,,,PLAINFIELD,,60544,,500,"Mercantile, business, Other",1,,7,B,6,U,N,N,,,,,N,N,,,,,,,,,,7-11: Kash Shah 630-804-4141|Granite Radiance: Becky Sharp 815-436-3218|Plainfield Vacuums: Heidner Property Mgt. 708-878-9437
Bucky's Mobil,14808,S,RT 59,,,,,PLAINFIELD,IL,60544,5,571,"Service station, gas statio",1,,2,C,8,U,N,N,,,,,N,N,,,Kathie,Ingerum,708-473-8951,,BUCKY'S MOBIL,KATHIE,INGERUM,
Four:13 Salon And Spa,14810,S,MICHIGAN,ST,,,,PLAINFIELD,IL,60544,5,557,"Personal service, including",1,1,2,C,8,U,,,,,,,,,,,Sarah,Blue,815-530-7131,,FOUR:13 SALON AND SPA,SARAH,BLUE,
Plainfield Schools Maintenance/ops Ofc,14812,S,EASTERN,AVE,,,,PLAINFIELD,IL,60544,5,579,Motor vehicle or boat sales,1,,,,,,,,,,,,,,,,,Plainfield School Dist.,815-577-4000,,PLAINFIELD SCHOOLS MAINTENANCE/OPS OFC,,PLAINFIELD SCHOOL DIST.,
Plainfield Post Office,14855,S,VAN DYKE,RD,,,,PLAINFIELD,IL,60544,5,596,Post office or mailing firm,1,,,,,,,,,,,,,,,,Annette,Crain,773-957-3151,,PLAINFIELD POST OFFICE,ANNETTE,CRAIN,
Heartland Bank And Trust Company,14901,S,RT 59,,,,,Plainfield,IL,60544,5,592,Bank,1,,7,B,4,U,1,P,1,S,4,H,N,N,,,Hasan,Samra,708-203-4020,,HEARTLAND BANK AND TRUST COMPANY,HASAN,SAMRA,
Walgreens,14902,S,RT 59,,,,,Plainfield,IL,60544,5,519,"Food and beverage sales, gr",1,,7,B,4,U,1,P,5,M,4,H,1,P,1,W,Gerardo,Bibian,630-697-9190,,WALGREENS,GERARDO,BIBIAN,
Center Street Building,14903,S,CENTER,ST,,,,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,,0,R,6,U,1,P,4,S,4,H,1,P,1,W,,,,,CENTER STREET BUILDING,,,Former Crossfit Plainfield: Scott Romijn 630-664-4400|Lucky Dog Academy: Heather Haggerty 815-302-8143|Office Space:  |Ten Drops Coffee:  |Unique Boutique On Wheels:  |Warehouse 109:  
Bethesda Lutheran Home,14907,S,EASTERN,AVE,,,,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,,,,,,,,,,,,1,P,1,W,Communities,Bethesda Lutheran,800-369-4636,,BETHESDA LUTHERAN HOME,COMMUNITIES,BETHESDA LUTHERAN,
Mid Century Building Multi Tenant Bldg,14912,S,EASTERN,AVE,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",1,,7,B,6,U,1,P,4,S,4,H,1,P,1,W,Clayton,Olsen,630-464-1400,,MID CENTURY BUILDING MULTI TENANT BLDG,CLAYTON,OLSEN,"Bernasol Enterprises:  |Call Potential:  |Custom Accessories, Inc. Clayton's Space: Clayton Olson 630-464-1600|Dynamic Fire Protection: Shaun Maher 815-207-3303|Edg - Exhibit Development Group:  |Giran Corporation: Inga Orolin 630-340-2070|James Flannagan Attorney At Law Pc: James Flanagan 815-483-9746|Liberty Club:  |Sable Creek Winery:  "
Memorial Park,14934,S,RT 59,,,,,PLAINFIELD,IL,60544,9,900,Outside or special property,1,,,,,,,,,,,,,,,,,,,,MEMORIAL PARK,,,
World Champion Taekwondo,14951,S,VAN DYKE,RD,,,,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,,0,R,8,U,,,,,,,,,,,Tae,Kim,630-465-6617,,WORLD CHAMPION TAEKWONDO,TAE,KIM,
Behavioral Health & Educational Services,14953,S,VAN DYKE,RD,,,,PLAINFIELD,IL,60544,3,340,"Clinics, doctors offices, h",1,,7,B,8,U,1,P,4,S,4,H,1,P,1,W,Robert,Brucker,630-728-4026,,BEHAVIORAL HEALTH & EDUCATIONAL SERVICES,ROBERT,BRUCKER,
Van Dyke Place Multi-tenant Building,14955,S,VAN DYKE,RD,,,,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,,,,,,,,,,,,,,,,,,,,VAN DYKE PLACE MULTI-TENANT BUILDING,,,Dental Associates Of Plainfield: Randall Hodoval 630-854-8112|Vacant:  
Lighthouse Academy,14959,S,VAN DYKE,RD,,,,PLAINFIELD,IL,60544,2,211,Preschool,1,1,7,B,4,U,1,P,5,M,4,H,1,P,1,W,Shannon,Flores,630-715-1603,,LIGHTHOUSE ACADEMY,SHANNON,FLORES,
Lincolnshire Apartments East Bldg,15002,S,WOOD FARM,RD,,15002-15012 AND 15014-15028,,PLAINFIELD,IL,60544,4,429,Multifamily dwelling,2,,2,C,6,U,1,P,1,S,4,H,N,N,,,Bill,Habiger,815-773-2302,,LINCOLNSHIRE APARTMENTS EAST BLDG,BILL,HABIGER,
Professional Wealth Advisors,15003,S,RT 59,,,,,Plainfield,IL,60544,5,569,"Professional supplies, serv",1,,,,,,,,,,,,,,,,Steve,Potts,630-418-1066,,PROFESSIONAL WEALTH ADVISORS,STEVE,POTTS,
Plainfield Township Community Center,15014,S,DESPLAINES,ST,,,,PLAINFIELD,IL,60544,1,150,"Public or government, Other",1,,0,R,4,U,1,P,5,M,4,H,2,P,1,W,,,,,PLAINFIELD TOWNSHIP COMMUNITY CENTER,,,
Plainfield Public Library,15025,S,ILLINOIS,ST,,,,Plainfield,IL,60544,1,151,Library,1,,,,6,U,,,,,,,,,,,Lance,Agne,815-529-6639,,PLAINFIELD PUBLIC LIBRARY,LANCE,AGNE,
"Station One Llc, Multi-tenant Bldg",15025,S,DESPLAINES,ST,,BOX 911,,Plainfield,IL,60544,8,888,Fire station,2,,7,B,6,U,1,P,5,M,4,H,1,P,1,W,,,,,"STATION ONE LLC, MULTI-TENANT BLDG",,,Station One:  |Station One Smokehouse Bbq:  
Lbl Financial,15028,S,DESPLAINES,ST,,,,Plainfield,IL,60544,5,569,"Professional supplies, serv",1,,,,,,,,,,,,,,,,Robert,Whitley,815-436-3052,,LBL FINANCIAL,ROBERT,WHITLEY,Graham Law Offices: Nora Graham 815-436-3681
Plainfield Library (empty Lot),15028,S,RT 59,,,,,Plainfield,IL,60544,1,151,Library,,,,,,,,,,,,,,,,,Julie,Milavec,815-439-9658,,PLAINFIELD LIBRARY (EMPTY LOT),JULIE,MILAVEC,
Sunnyside Antiques,15028,S,ILLINOIS,ST,,,,PLAINFIELD,IL,60544,5,549,Specialty shop,1,1,2,C,8,U,,,,,,,,,,,Susan,Bostanche,630-608-7344,,SUNNYSIDE ANTIQUES,SUSAN,BOSTANCHE,
Lincolnshire Apartments West Bldg,15030,S,WOOD FARM,RD,,15030-15044 AND 15046-15056,,PLAINFIELD,IL,60544,4,429,Multifamily dwelling,2,,2,C,6,U,1,P,1,S,4,H,N,N,,,Bill,Habiger,815-773-2302,,LINCOLNSHIRE APARTMENTS WEST BLDG,BILL,HABIGER,
Kelly's Special Image,15032,S,ILLINOIS,ST,,,UNIT 100/102,Plainfield,IL,60544,5,557,"Personal service, including",1,,,,,,,,,,,,,,,,Teresa,Faletti,815-436-5658,,KELLY'S SPECIAL IMAGE,TERESA,FALETTI,
The Wandering Dragon Game Shoppe,15032,S,DESPLAINES,ST,,,,Plainfield,IL,60544,1,144,"Casino, gambling clubs",1,,7,B,4,U,1,P,31,S,4,H,N,N,,,Kevin,Martin,815-603-3683,,THE WANDERING DRAGON GAME SHOPPE,KEVIN,MARTIN,
Plainfield Hist Society (train Depot),15033,S,WOOD FARM,RD,,,,PLAINFIELD,IL,60544,1,152,Museum,1,,,,,,,,,,,,,,,,,,,,PLAINFIELD HIST SOCIETY (TRAIN DEPOT),,,
Medical Office Building,15041,S,VAN DYKE,RD,,,,PLAINFIELD,IL,60544,3,342,"Doctor, dentist or oral sur",1,,7,B,8,U,1,P,5,M,4,H,1,P,1,W,,,,,MEDICAL OFFICE BUILDING,,,Pain And Wellness Group:  |The Loose Tooth Pediatric Dentistry: Rhiannon Holcombe 312-450-4595
Southern Belles Restaurant,15051,S,VAN DYKE,RD,,,,PLAINFIELD,IL,60544,1,161,Restaurant or cafeteria,1,,7,B,8,U,1,P,5,M,4,H,1,P,1,W,Steve,Fotos,630-788-1462,,SOUTHERN BELLES RESTAURANT,STEVE,FOTOS,
Lincolnshire Apartments North Bldg,15100,S,WOOD FARM,RD,,15100-15110 AND 15112-15126,,PLAINFIELD,IL,60544,4,429,Multifamily dwelling,2,,2,C,6,U,1,P,1,S,4,H,N,N,,,,Maintenance,815-953-0815,,LINCOLNSHIRE APARTMENTS NORTH BLDG,,MAINTENANCE,
"Private Residence - Fuerte Systems, Inc.",15100,S,INDIAN BOUNDARY LINE,RD,,,,Plainfield,IL,60544,5,599,Business office,1,,0,R,8,U,N,N,,,,,N,N,,,Rafael,Hurtado,847-312-9393,,"PRIVATE RESIDENCE - FUERTE SYSTEMS, INC.",RAFAEL,HURTADO,
Bmo Harris Bank,15101,S,RT 59,,,,,PLAINFIELD,IL,60544,5,592,Bank,1,,,,,,1,P,31,S,4,H,N,N,,,Rich,Williams,815-557-4737,,BMO HARRIS BANK,RICH,WILLIAMS,
Bmo Harris Bank Atm Machine,15102,S,RT 59,,,,,Plainfield,IL,60544,9,900,Outside or special property,1,,8,S,0,U,,,,,,,,,,,Frank,Costa,815-577-1042,,BMO HARRIS BANK ATM MACHINE,FRANK,COSTA,
Vacant (former Daddy O's And Mary D's),15102,S,FOX RIVER,ST,,,,Plainfield,IL,60544,1,161,Restaurant or cafeteria,2,1,2,C,8,U,1,P,31,S,4,H,N,N,,,Eamon,Concannon,815-693-8576,,VACANT (FORMER DADDY O'S AND MARY D'S),EAMON,CONCANNON,
Plainfield Chiropractic,15104,S,JAMES,ST,,,,Plainfield,IL,60544,3,340,"Clinics, doctors offices, h",1,,,,,,,,,,,,,,,,Joseph,Conklin,815-436-7979,,PLAINFIELD CHIROPRACTIC,JOSEPH,CONKLIN,
Cambridge Homes (model Home),15105,S,FREEDOM,WAY,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",,,,,,,,,,,,,,,,,Diana,Bos,815-444-9428,,CAMBRIDGE HOMES (MODEL HOME),DIANA,BOS,
Century 21 Pro-team,15105,S,JAMES,ST,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",1,,,,,,,,,,,,,,,,Chuck,Dinolfo,708-259-4750,,CENTURY 21 PRO-TEAM,CHUCK,DINOLFO,
