occ_name,number,st_prefix,street,st_type,st_suffix,addr_2,apt_room,city,state,zip,property_class,prop_use,property,floors_above,floors_below,roof_cover,roof,construct,construction_ty,det_pres,det_present,det_type,detect_type,det_power,detector_power,aes_pres,aes_present,aes_type,aestype,first_name,last_name,phone,ext,name,first,last
Crossfit C2l,14411,S,COIL PLUS,DR,,,UNIT 115-D,PLAINFIELD,IL,60544,1,141,Athletic/health club,1,0,7,B,4,U,1,P,4,S,4,H,1,P,1,W,,,,,CROSSFIT C2L,,
Crossfit C2l Additional Space,14411,S,COIL PLUS,DR,,,UNIT 113-D,PLAINFIELD,IL,60544,1,110,Fixed-use recreation places,1,0,7,B,4,U,1,P,4,S,4,H,1,P,1,W,Patricia,De Hayos,815-267-7544,,CROSSFIT C2L ADDITIONAL SPACE,PATRICIA,DE HAYOS
Crossfit Plainfield,24119,W,RIVERWALK,CT,,,UNIT 137,PLAINFIELD,IL,60544,5,599,Business office,1,0,7,B,4,U,N,N,,,,,1,P,1,W,,,,,CROSSFIT PLAINFIELD,,
Crossfit Resurgence,24125,W,111TH,ST,,,SUITE 600,NAPERVILLE,IL,60564,1,141,Athletic/health club,1,0,7,B,4,U,1,P,1,S,4,H,N,N,,,Craig,Kaufman,630-363-4797,,CROSSFIT RESURGENCE,CRAIG,KAUFMAN
Crossings At Wolf Creek Park,24400,S,HERITAGE,DR,,,,PLAINFIELD,IL,60585,9,900,Outside or special property,1,0,,,,,,,,,,,,,,,,,,,CROSSINGS AT WOLF CREEK PARK,,
Crosslink Wireless,23808,W,ANDREW,RD,,,UNIT 1&2,PLAINFIELD,IL,60585,1,121,"Ballroom, gymnasium",2,0,7,B,4,U,1,P,31,S,4,H,N,N,,,Daniel,Whiting,708-980-7792,,CROSSLINK WIRELESS,DANIEL,WHITING
Crosslink Wireless Additional Space,23808,W,ANDREW,RD,,,UNIT 2,PLAINFIELD,IL,60585,8,891,Warehouse,2,0,7,B,4,U,1,P,31,S,4,H,N,N,,,Larry,Pearson,630-388-8376,,CROSSLINK WIRELESS ADDITIONAL SPACE,LARRY,PEARSON
Crossroads Auto Spa,24037,W,135TH,ST,,,,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",2,0,6,M,4,U,1,P,3,C,4,H,N,N,,,Roderick,Riesein,815-791-5466,,CROSSROADS AUTO SPA,RODERICK,RIESEIN
Crossroads Counseling,13550,S,RT 30,,,,SUITE 302,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",3,1,7,B,4,U,1,P,5,M,4,H,1,P,12,W,,,,,CROSSROADS COUNSELING,,
Crosstown Plumbing,23900,W,INDUSTRIAL,DR,S,,UNIT 6,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",2,0,6,M,4,U,1,P,3,C,4,H,N,N,,,Tom,Schrabel,630-768-0696,,CROSSTOWN PLUMBING,TOM,SCHRABEL
Crosswinds Church,14360,S,RT 59,,,,,PLAINFIELD,IL,60544,1,131,"Church, mosque, synagogue,",1,1,2,C,6,U,1,P,1,S,4,H,N,N,,,Ken,Schultz,815-439-2706,,CROSSWINDS CHURCH,KEN,SCHULTZ
Crystal Lawns Church Of The Nazarene,2424,,CATON FARM,RD,,,,JOLIET,IL,60435,1,131,"Church, mosque, synagogue,",1,0,,,,,,,,,,,,,,,,,,,CRYSTAL LAWNS CHURCH OF THE NAZARENE,,
Ctg Legacy Coin,24103,W,LOCKPORT,ST,,,UNIT 103,PLAINFIELD,IL,60544,5,557,"Personal service, including",1,0,1,T,8,U,N,N,,,,,N,N,,,,,,,CTG LEGACY COIN,,
Cube Smart,14203,S,RT 59,,,,,PLAINFIELD,IL,60544,5,599,Business office,1,0,,,8,U,N,N,,,,,N,N,,,Pam,Bonilla,630-670-1416,,CUBE SMART,PAM,BONILLA
Culvers Restaurant,13449,S,RT 59,,,,,PLAINFIELD,IL,60585,1,161,Restaurant or cafeteria,1,0,7,B,0,U,1,P,5,M,4,H,1,P,4,D,Eric,Mccroskey,309-212-4632,,CULVERS RESTAURANT,ERIC,MCCROSKEY
Curves  (annexed To Naperville),10336,S,RT 59,,,,,NAPERVILLE,IL,60564,1,141,Athletic/health club,1,0,6,M,4,U,1,P,1,S,4,H,N,N,,,Gary,Chomko,630-717-2930,,CURVES  (ANNEXED TO NAPERVILLE),GARY,CHOMKO
"Custom Accessories, Inc. Clayton's Space",14912,S,EASTERN,AVE,,,114,PLAINFIELD,IL,60544,5,579,Motor vehicle or boat sales,1,0,9,R,6,U,1,P,4,S,4,H,1,P,1,W,Clayton,Olson,630-464-1600,,"CUSTOM ACCESSORIES, INC. CLAYTON'S SPACE",CLAYTON,OLSON
Cvs Pharmacy #5449,11840,S,RT 59,,,,,PLAINFIELD,IL,60585,5,511,Convenience store,1,0,7,B,4,U,1,P,5,M,4,H,1,P,1,W,Mary,Rich,815-462-0718,,CVS PHARMACY #5449,MARY,RICH
Cyberspace Lazer Tag,24125,W,111TH,ST,,,UNIT 200,NAPERVILLE,IL,60564,1,113,Electronic amusement center,1,0,6,M,4,U,1,P,1,S,4,H,1,P,1,W,,,,,CYBERSPACE LAZER TAG,,
"D & I Electronics, Inc.",24802,W,CATON FARM,RD,,,,PLAINFIELD,IL,60586,5,599,Business office,1,0,6,M,4,U,1,P,31,S,4,H,N,N,,,Martin,Ivec,815-436-5960,,"D & I ELECTRONICS, INC.",MARTIN,IVEC
D & M Unlimited (home Bus),168,S,PAWNEE,ST,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,Donald,Hartlaub,815-609-8732,,D & M UNLIMITED (HOME BUS),DONALD,HARTLAUB
"D & S Ventures, Ltd. (home Business)",24157,W,GOLDEN MEADOW,CT,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,David,Grimaldi,815-436-3277,,"D & S VENTURES, LTD. (HOME BUSINESS)",DAVID,GRIMALDI
"D Construction, I-dot Field Office",16310,S,LINCOLN,HWY,,,UNIT 110,PLAINFIELD,IL,60586,5,599,Business office,1,0,7,B,4,U,1,P,1,S,4,H,N,N,,,Eric,Rhoda,815-867-3302,,"D CONSTRUCTION, I-DOT FIELD OFFICE",Eric,Rhoda
D'anthony Flooring/fox River Lures & Rod,24119,W,RIVERWALK,CT,,,UNIT 131,PLAINFIELD,IL,60544,8,891,Warehouse,1,0,,,,,,,,,,,,,,,,,,,D'ANTHONY FLOORING/FOX RIVER LURES & ROD,,
D'oleo Auto Sales,16010,S,LINCOLN,HWY,,,,Plainfield,IL,60586,5,579,Motor vehicle or boat sales,1,0,6,M,8,U,N,N,,,,,N,N,,,Luis,D'oleo,815-630-7375,,D'OLEO AUTO SALES,LUIS,D'OLEO
D'vine Nails,13530,S,RT 59,,,,UNITS 102-104,PLAINFIELD,IL,60544,3,340,"Clinics, doctors offices, h",1,0,7,B,4,U,1,P,4,S,4,H,1,P,1,W,Steve,Putney,630-904-6200,,D'VINE NAILS,STEVE,PUTNEY
D.d.i. (home Bus),16,W,LOCKPORT,ST,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,Martin,Dudek,815-577-2755,,D.D.I. (HOME BUS),MARTIN,DUDEK
"D.j. Investments, Inc./deer Ridge Homes",24402,W,LOCKPORT,ST,,,SUITE 230,PLAINFIELD,IL,60544,5,599,Business office,2,0,7,B,4,U,1,P,4,S,4,H,1,P,1,W,Joann,Buerstetta,847-209-1009,,"D.J. INVESTMENTS, INC./DEER RIDGE HOMES",JOANN,BUERSTETTA
Dae Sung,13242,S,RT 59,,,,100 BLDG B,PLAINFIELD,IL,60585,1,180,"Studio/theater, Other",3,0,2,C,5,P,1,P,11,S,4,H,1,P,12,W,,Santor Communication,847-515-6269,,DAE SUNG,,SANTOR COMMUNICATION
"Dae Sung, Llc",13246,S,RT 59,,,,208 BLDG A,PLAINFIELD,IL,60585,5,599,Business office,2,1,2,C,6,U,1,P,5,M,4,H,1,P,12,W,,,,,"DAE SUNG, LLC",,
Dairy Queen,15925,S,RT 59,,,,UNIT 101,Plainfield,IL,60586,1,160,"Eating, drinking places, ot",1,0,7,B,4,U,1,P,1,S,4,H,N,N,,,Ronald,Leaman,815-436-2873,,DAIRY QUEEN,RONALD,LEAMAN
David's Personal Training,12249,S,RHEA,DR,,,UNIT 1,PLAINFIELD,IL,60585,5,557,"Personal service, including",1,0,7,B,4,U,,,,,,,,,,,David,Vidican,815-405-2557,,DAVID'S PERSONAL TRAINING,DAVID,VIDICAN
Dayfield Commons Strip Mall,14200,S,RT 30,,,DAYFIELD COMMONS 14200-14206 S. RT. 30,,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",2,0,7,B,4,U,1,P,5,M,4,H,1,P,1,W,Mike,Shearer,630-432-7604,,DAYFIELD COMMONS STRIP MALL,MIKE,SHEARER
Dee V's Wax Studio,12249,S,RHEA,DR,,,UNIT 1,Plainfield,IL,60585,5,599,Business office,2,0,7,B,4,U,N,N,,,,,N,N,,,Darcy,Vanzijl,815-526-2333,,DEE V'S WAX STUDIO,DARCY,VANZIJL
Deer Creek Recreation Clubhouse,22823,W,143RD,ST,,,,PLAINFIELD,IL,60544,9,935,Campsite with utilities,1,0,,,,,,,,,,,,,,,,,,,DEER CREEK RECREATION CLUBHOUSE,,
Deer Creek Recreation Traphouse,22823,W,143RD,ST,,,,PLAINFIELD,IL,60544,9,900,Outside or special property,1,0,,,,,,,,,,,,,,,,,,,DEER CREEK RECREATION TRAPHOUSE,,
Del Valle Head Start,6550,S,RIDGE,RD,,,,PLAINFIELD,IL,60544,2,211,Preschool,1,1,0,R,4,U,1,P,1,S,4,H,N,N,,,Maria,Acosta,815-483-4950,,DEL VALLE HEAD START,MARIA,ACOSTA
Delete Adventist Health Partners,15724,S,RT 59,,,,UNIT 102-104,PLAINFIELD,IL,60544,3,340,"Clinics, doctors offices, h",1,1,7,B,0,U,1,P,1,S,4,H,N,N,,,,,,,Delete ADVENTIST HEALTH PARTNERS,,
Delete Adventist Health Partners,15724,S,RT 59,,,,UNIT 104,PLAINFIELD,IL,60544,3,340,"Clinics, doctors offices, h",1,1,7,B,4,U,1,P,1,S,4,H,N,N,,,,,,,Delete ADVENTIST HEALTH PARTNERS,,
Delete Evan Michaels Spa,14200,S,RT 30,,,,UNITS 106-108,PLAINFIELD,IL,60544,5,557,"Personal service, including",1,0,7,B,4,U,1,P,5,M,4,H,1,P,1,W,Colleen,Almodovar,815-274-5241,,Delete EVAN MICHAELS SPA,COLLEEN,ALMODOVAR
Delete Little Caesars Pizza,13327,S,RT 59,,,,UNIT 600,PLAINFIELD,IL,60585,1,161,Restaurant or cafeteria,1,0,7,B,4,U,1,P,5,M,4,H,N,N,,,Dave,Piaske,815-955-8302,,Delete LITTLE CAESARS PIZZA,DAVE,PIASKE
Delicia Mexican Grill,12337,S,RT 59,,,,UNITS 127 & 129,PLAINFIELD,IL,60585,1,161,Restaurant or cafeteria,1,0,7,B,4,U,1,P,1,S,4,H,1,P,1,W,,,,,DELICIA MEXICAN GRILL,,
"Deluxe Express, Inc.",13717,S,RT 30,,,,UNIT 137-B,PLAINFIELD,IL,60544,5,599,Business office,1,0,7,B,4,U,1,P,1,S,4,H,N,N,,,Igoris,Geguzinskas,847-756-0429,,"DELUXE EXPRESS, INC.",IGORIS,GEGUZINSKAS
Demolished (former R&r Interiors),23340,W,RENWICK,RD,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,Bob,Arfman,815-730-7901,,DEMOLISHED (FORMER R&R INTERIORS),BOB,ARFMAN
Demolished (former Service Master),23330,W,RENWICK,RD,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,Lex,Johnson,815-436-9622,,DEMOLISHED (FORMER SERVICE MASTER),LEX,JOHNSON
Demolished (former Weller Auto Repair),23320,W,RENWICK,RD,,,,Plainfield,IL,60544,5,579,Motor vehicle or boat sales,0,0,,,,,,,,,,,,,,,William,Weller,815-423-9890,,DEMOLISHED (FORMER WELLER AUTO REPAIR),WILLIAM,WELLER
Demolished (reardon's Carpet Center),16020,S,LINCOLN,HWY,,,UNIT 100,Plainfield,IL,60586,5,571,"Service station, gas statio",2,0,0,R,4,U,N,N,,,,,N,N,,,R.,Chobar,815-791-2064,,DEMOLISHED (REARDON'S CARPET CENTER),R.,CHOBAR
Demolished - Torn Down 2006,24020,S,LINCOLN,HWY,,,,Plainfield,IL,60544,N,NNN,None,0,0,,,,,,,,,,,,,,,,,,,DEMOLISHED - TORN DOWN 2006,,
Demolished Christ Lutheran Academy,23756,W,127TH,ST,,,,Plainfield,IL,60585,2,215,High school/junior high sch,2,1,7,B,6,U,1,P,5,M,4,H,N,N,,,Beth,Hauser,815-577-8110,,DEMOLISHED CHRIST LUTHERAN ACADEMY,Beth,Hauser
Demolished Lakeview Motel Apartment Bldg,15820,S,JOLIET,RD,,,UNITS 100-106,PLAINFIELD,IL,60544,4,439,"Boarding/rooming house, res",1,0,,,,,,,,,,,,,,,,,,,DEMOLISHED LAKEVIEW MOTEL APARTMENT BLDG,,
Demolished Lakeview Motel Back Bldg/shed,15816,S,JOLIET,RD,,,,PLAINFIELD,IL,60544,4,439,"Boarding/rooming house, res",1,0,,,,,,,,,,,,,,,Piyush,Patel,847-732-1986,,DEMOLISHED LAKEVIEW MOTEL BACK BLDG/SHED,PIYUSH,PATEL
Demolished Lakeview Motel Main Bldg,15814,S,JOLIET,RD,,,,Plainfield,IL,60544,4,449,"Hotel/motel, commercial",1,0,2,C,8,U,1,P,1,S,1,B,N,N,,,Piyush,Patel,847-732-1986,,DEMOLISHED LAKEVIEW MOTEL MAIN BLDG,PIYUSH,PATEL
Demolished Lakeview Motel Office & House,15824,S,JOLIET,RD,,,,PLAINFIELD,IL,60544,5,599,Business office,1,0,,,,,,,,,,,,,,,,,,,DEMOLISHED LAKEVIEW MOTEL OFFICE & HOUSE,,
Demolished Lakeview Motel Trailer # 125,15822,S,JOLIET,RD,,,UNIT 125,PLAINFIELD,IL,60544,4,439,"Boarding/rooming house, res",1,0,,,,,,,,,,,,,,,Piyush,Patel,847-732-1986,,DEMOLISHED LAKEVIEW MOTEL TRAILER # 125,PIYUSH,PATEL
Demolished Lakeview Motel Trailer #122,15818,S,JOLIET,RD,,,UNIT 122,PLAINFIELD,IL,60544,4,439,"Boarding/rooming house, res",1,0,,,,,,,,,,,,,,,Piyush,Patel,847-732-1986,,DEMOLISHED LAKEVIEW MOTEL TRAILER #122,PIYUSH,PATEL
Demolished Plainfield Express Car Wash,15900,S,LINCOLN,HWY,,,,Plainfield,IL,60586,5,500,"Mercantile, business, Other",1,0,6,M,4,U,,,,,,,,,,,Dennis,Elias,815-436-4860,,DEMOLISHED PLAINFIELD EXPRESS CAR WASH,DENNIS,ELIAS
Dental Associates Of Plainfield,14955,S,VAN DYKE,RD,,,UNIT 100,PLAINFIELD,IL,60544,3,342,"Doctor, dentist or oral sur",1,0,7,B,6,U,1,P,5,M,4,H,1,P,1,W,Randall,Hodoval,630-854-8112,,DENTAL ASSOCIATES OF PLAINFIELD,RANDALL,HODOVAL
Dental Office Bldg.,13600,S,RT 59,,,,,Plainfield,IL,60544,5,592,Bank,1,1,2,C,4,U,1,P,5,M,4,H,,,,,Adam,Underhill,708-362-1136,,DENTAL OFFICE BLDG.,ADAM,UNDERHILL
Dental Works,12720,S,RT 59,,,,UNIT 200,PLAINFIELD,IL,60585,1,161,Restaurant or cafeteria,1,0,7,B,4,U,1,P,4,S,4,H,1,P,1,W,,,,,DENTAL WORKS,,
Dental Works Additional Space,12720,S,RT 59,,,,UNIT 300,PLAINFIELD,IL,60585,5,549,Specialty shop,1,0,7,B,4,U,1,P,4,S,4,H,1,P,1,W,Debbie,Schramm,630-472-5167,,DENTAL WORKS ADDITIONAL SPACE,DEBBIE,SCHRAMM
"Deruzzo & Associates, Inc.",13246,S,RT 59,,,,224 BLDG A,PLAINFIELD,IL,60585,5,599,Business office,2,1,2,C,6,U,1,P,5,M,4,H,1,P,12,W,Jennifer,Deruzzo,815-782-8031,,"DERUZZO & ASSOCIATES, INC.",JENNIFER,DERUZZO
Design & Processing Resources,12009,S,SPAULDING SCHOOL,DR,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,0,7,B,4,U,1,P,1,S,4,H,N,N,,,,,,,DESIGN & PROCESSING RESOURCES,,
Diageo Global,24440,W,143RD,ST,,,,Plainfield,IL,60544,7,700,"Manufacturing, processing",2,0,7,B,4,U,1,P,5,M,4,H,1,P,1,W,Timothy,Murray,630-554-3834,,DIAGEO GLOBAL,TIMOTHY,MURRAY
Diageo Project Jupiter,25820,W,143RD,ST,,,,PLAINFIELD,IL,60544,8,891,Warehouse,1,0,7,B,4,U,1,P,5,M,4,H,1,P,1,W,,,,,DIAGEO PROJECT JUPITER,,
Diageo Warehouse,14020,S,COIL PLUS,DR,,,OVERALL BLDG,PLAINFIELD,IL,60544,7,700,"Manufacturing, processing",2,0,7,B,4,U,1,P,4,S,4,H,1,P,1,W,Tim,Murray,630-554-3834,,DIAGEO WAREHOUSE,TIM,MURRAY
Diageo Warehouse Additional Space,14020,S,COIL PLUS,DR,,,EAST HALF,Plainfield,IL,60544,7,700,"Manufacturing, processing",1,0,,,,,1,P,4,S,4,H,1,P,2,D,,Adt,800-428-7124,,DIAGEO WAREHOUSE ADDITIONAL SPACE,,ADT
Diageo Warehouse Additional Space,14020,S,COIL PLUS,DR,,,WEST HALF,PLAINFIELD,IL,60544,8,891,Warehouse,1,0,7,B,4,U,1,P,4,S,4,H,1,P,2,D,,Midwest Warehouse,630-739-6760,,DIAGEO WAREHOUSE ADDITIONAL SPACE,,MIDWEST WAREHOUSE
Diatom Inc. (home Bus),15964,S,ARBOR,DR,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,Calvin,Wohlert,815-436-5560,,DIATOM INC. (HOME BUS),CALVIN,WOHLERT
Diaz Grocery And Pet Supply Outlet,23907,W,INDUSTRIAL,DR,N,,,PLAINFIELD,IL,60585,5,549,Specialty shop,2,0,7,B,4,U,1,P,31,S,4,H,N,N,,,Rick,Diaz,630-922-3429,,DIAZ GROCERY AND PET SUPPLY OUTLET,RICK,DIAZ
Discount Liquors,16200,S,LINCOLN,HWY,,,UNIT 126,PLAINFIELD,IL,60586,5,519,"Food and beverage sales, gr",1,0,7,B,4,U,N,N,,,,,N,N,,,Bhagvanji,Bathani,630-427-1533,,DISCOUNT LIQUORS,BHAGVANJI,BATHANI
"Ditti, Inc.",13900,S,VAN DYKE,RD,,,UNIT 102,PLAINFIELD,IL,60544,5,599,Business office,1,0,7,B,4,U,1,P,5,M,4,H,1,P,1,W,,,,,"DITTI, INC.",,
Dive Right In Scuba,24222,W,LOCKPORT,ST,,,,PLAINFIELD,IL,60544,5,549,Specialty shop,1,0,0,R,6,U,N,N,,,,,N,N,,,Rod,Pedersen,630-531-5886,,DIVE RIGHT IN SCUBA,ROD,PEDERSEN
Dna Athletics (future Bldg),24210,W,LOCKPORT,ST,,,,Plainfield,IL,60544,5,549,Specialty shop,1,1,2,C,8,U,1,P,5,M,4,H,1,P,1,W,,,,,DNA ATHLETICS (FUTURE BLDG),,
Doggie Diner,13327,S,RT 59,,,,UNIT 500,PLAINFIELD,IL,60585,5,519,"Food and beverage sales, gr",1,0,7,B,4,U,1,P,5,M,4,H,N,N,,,Kristie,Fraga,630-408-1470,,DOGGIE DINER,KRISTIE,FRAGA
Domino's Pizza,2405,W,CATON FARM,RD,,,,CREST HILL,IL,60403,1,161,Restaurant or cafeteria,1,0,0,R,0,U,,,,,,,,,,,Ray,Montez,630-783-0300,,DOMINO'S PIZZA,RAY,MONTEZ
"Doors By Russ, Inc.",11941,S,AERO,DR,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,0,0,R,8,U,N,N,,,,,N,N,,,Russ,Horeni,630-554-3627,,"DOORS BY RUSS, INC.",RUSS,HORENI
Dottie's Art Studio,15116,S,DESPLAINES,ST,,,,Plainfield,IL,60544,5,559,"Recreational, hobby, home r",2,1,2,C,8,U,N,N,,,,,N,N,,,Amanda,Chakravarty,331-330-3963,,DOTTIE'S ART STUDIO,AMANDA,CHAKRAVARTY
Double Portions Ministry,23819,S,MILL,ST,,,UNIT 3,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,0,2,C,8,U,N,N,,,,,N,N,,,,,,,DOUBLE PORTIONS MINISTRY,,
Dr R.m. Morris,24032,W,OAK,ST,,,,PLAINFIELD,IL,60544,3,342,"Doctor, dentist or oral sur",1,0,,,,,,,,,,,,,,,,,,,DR R.M. MORRIS,,
Dr. Mohin Tissa Samaweera,24016,W,MAIN,ST,,,SUITE 100,PLAINFIELD,IL,60544,3,342,"Doctor, dentist or oral sur",1,0,,,,,,,,,,,,,,,,,,,DR. MOHIN TISSA SAMAWEERA,,
"Dr. Reicherts, Pediatrician",10334,S,RT 59,,,,,NAPERVILLE,IL,60564,5,569,"Professional supplies, serv",0,0,,,,,,,,,,,,,,,Michael,Reicherts,815-205-0002,,"DR. REICHERTS, PEDIATRICIAN",MICHAEL,REICHERTS
"Dr. Robert Larson, Optometrist",15420,S,RT 59,,,,112,PLAINFIELD,IL,60544,3,340,"Clinics, doctors offices, h",1,0,7,B,4,U,N,N,,,,,N,N,,,Robert,Larson,815-729-2560,,"DR. ROBERT LARSON, OPTOMETRIST",ROBERT,LARSON
Dr. Steven J. Moravec Orthodontics,23842,W,MAIN,ST,,,,PLAINFIELD,IL,60544,3,342,"Doctor, dentist or oral sur",2,1,2,C,8,U,U,U,,,,,N,N,,,Steve,Moravec,773-405-4709,,DR. STEVEN J. MORAVEC ORTHODONTICS,STEVE,MORAVEC
"Dream House Draperies, Inc. (home Bus)",24144,W,PRIMROSE,CIR,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,Annette,Bertucci,815-436-4822,,"DREAM HOUSE DRAPERIES, INC. (HOME BUS)",ANNETTE,BERTUCCI
Dreamhouse Draperies,16114,S,RT 59,,,,UNIT C 106/108,Plainfield,IL,60586,5,529,"Textile, wearing apparel sa",1,1,7,B,3,P,1,P,4,S,4,H,1,P,1,W,Dale,Bertucci,815-530-0509,,DREAMHOUSE DRAPERIES,DALE,BERTUCCI
"Dreisilker Electric Motors, Inc.",23915,,AERO,CT,,,UNIT 4,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,0,6,M,8,U,1,P,1,S,4,H,N,N,,,Motors,Dreisilker Electric,630-469-7510,,"DREISILKER ELECTRIC MOTORS, INC.",MOTORS,DREISILKER ELECTRIC
Dress Barn #0324,12736,S,RT 59,,,,106,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,0,7,B,4,U,1,P,06,D,4,H,1,P,1,W,Ramzi,Hassan,708-923-6312,,DRESS BARN #0324,RAMZI,HASSAN
Dt Counseling Inc.,13246,S,RT 59,,,,220 BLDG A,PLAINFIELD,IL,60585,5,599,Business office,2,1,2,C,6,U,1,P,1,S,4,H,1,P,12,W,Dana,Torres,815-325-7154,,DT COUNSELING INC.,DANA,TORRES
Dukane Precast,13733,S,RT 30,,,,,Plainfield,IL,60544,7,700,"Manufacturing, processing",1,0,0,R,1,F,N,N,,,,,N,N,,,,Unknown,815-230-4760,,DUKANE PRECAST,,UNKNOWN
Dunkin Donuts,11904,S,RT 59,,,,,PLAINFIELD,IL,60544,1,161,Restaurant or cafeteria,1,0,7,B,8,U,1,P,5,M,4,H,1,P,1,W,,,,,DUNKIN DONUTS,,
Dunkin Donuts,12690,S,RT 59,,,,,PLAINFIELD,IL,60585,1,161,Restaurant or cafeteria,1,0,7,B,4,U,1,P,1,S,4,H,1,P,1,W,Bud,Patel,630-926-0465,,DUNKIN DONUTS,BUD,PATEL
Dunkin Donuts & Baskin Robbins,13313,S,RT 59,,,,,PLAINFIELD,IL,60585,1,160,"Eating, drinking places, ot",1,0,7,B,4,U,1,P,5,M,4,H,N,N,,,Krishna,Patel,815-254-5414,,DUNKIN DONUTS & BASKIN ROBBINS,KRISHNA,PATEL
Dunmoor Estates Park,13337,S,SKYLINE,DR,,,,PLAINFIELD,IL,60585,9,900,Outside or special property,1,0,,,,,,,,,,,,,,,,,,,DUNMOOR ESTATES PARK,,
Dunwell Home Inspection,12249,S,RHEA,DR,,,UNIT 4,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",2,0,7,B,4,U,N,N,,,,,N,N,,,Joel,Dunwell,630-201-7353,,DUNWELL HOME INSPECTION,JOEL,DUNWELL
Dupage Medical Group,12004,S,RT 59,,,,UNITS 100-108,PLAINFIELD,IL,60585,3,340,"Clinics, doctors offices, h",1,0,7,B,4,U,1,P,4,S,4,H,1,P,1,W,,Dupage Medical Group,630-469-9200,,DUPAGE MEDICAL GROUP,,DUPAGE MEDICAL GROUP
Dupage Medical Group,24020,W,RIVERWALK,CT,,,UNIT 102,PLAINFIELD,IL,60544,3,340,"Clinics, doctors offices, h",1,0,2,C,6,U,1,P,4,S,4,H,1,P,1,W,,Dupage Medical Group,630-469-9200,,DUPAGE MEDICAL GROUP,,DUPAGE MEDICAL GROUP
Dupage Medical Group,24600,W,127TH,ST,,,SUITE 225,PLAINFIELD,IL,60585,3,340,"Clinics, doctors offices, h",3,0,7,B,3,P,1,P,11,S,4,H,1,P,1,W,,Bremmer Duke,888-816-8661,,DUPAGE MEDICAL GROUP,,BREMMER DUKE
Dupage Medical Group Additional Space,16108,S,RT 59,,,,128,PLAINFIELD,IL,60586,1,162,Bar or nightclub,1,1,7,B,4,U,1,P,4,S,4,H,1,P,1,W,,,,,DUPAGE MEDICAL GROUP ADDITIONAL SPACE,,
Dupage Medical Group Additional Space,16108,S,RT 59,,,,UNIT 130,PLAINFIELD,IL,60586,8,800,"Storage, Other",1,1,7,B,4,U,1,P,5,M,4,H,1,P,1,W,,,,,DUPAGE MEDICAL GROUP ADDITIONAL SPACE,,
Dupage Medical Group Clinic,12004,S,RT 59,,,,UNIT 110,PLAINFIELD,IL,60585,5,599,Business office,1,0,7,B,4,U,1,P,4,S,4,H,1,P,1,W,,,,,DUPAGE MEDICAL GROUP CLINIC,,
Dupage Medical Group Physical Therapy,16108,S,RT 59,,,,UNIT 128-132,PLAINFIELD,IL,60586,1,181,Live performance theater,1,0,,,,,,,,,,,,,,,,,,,DUPAGE MEDICAL GROUP PHYSICAL THERAPY,,
Dupage Medical Group Urology,16519,S,RT 59,,,,NORTH END,PLAINFIELD,IL,60586,3,340,"Clinics, doctors offices, h",1,0,7,B,4,U,1,P,5,M,4,H,1,P,1,W,,,,,DUPAGE MEDICAL GROUP UROLOGY,,
Dupage Medical Group Women's Center,16519,S,RT 59,,,,SUITE B-300,PLAINFIELD,IL,60586,3,340,"Clinics, doctors offices, h",1,0,,,,,,,,,,,,,,,,,,,DUPAGE MEDICAL GROUP WOMEN'S CENTER,,
Dupage Medicar,15507,S,RT 59,,,,SUITE 4C,PLAINFIELD,IL,60544,5,599,Business office,1,0,7,B,6,U,1,P,31,S,4,H,N,N,,,,,,,DUPAGE MEDICAR,,
Dupage Medicar Transportation (home Bus),24307,W,GOLDEN SUNSET,DR,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,Alex,Villanueva,630-742-8461,,DUPAGE MEDICAR TRANSPORTATION (HOME BUS),ALEX,VILLANUEVA
Duplicate  Agora Behavioral Health Servi,24402,W,LOCKPORT,ST,,,SUITE 223,PLAINFIELD,IL,60544,5,599,Business office,2,0,7,B,4,U,1,P,4,S,4,H,1,P,1,W,,,,,Duplicate  Agora Behavioral Health Servi,,
